name

Лыжный переулок ул.
Михаила Дудина ул.
Федора Абрамова ул.
Новая ул.
Ларина ул.
Вилькицкий б-р
Генерала Хазова ул.
Ахматовская ул.
Арецеуловская аллея
Полевая ул.
Взлетная ул
Пилотов ул
Штурманская ул
Балтийский бульвар
Вертолетная ул
Новое Девяткино
Ленинградская ул.
Заречная ул.
Озерная ул.
Первомайская ул.
Московская ул.
Кедринская ул.
Красносельское ш.
Антокольский переулок
Колтушское ш.
Окраинная ул.
Екатерининская ул.
Детскосельский б-р
Парковый проезд
Гатчинское ш.
Оранжерейная ул.
Приозерское ш.
Берёзовая аллея
Ветеранов ул.
Столярный пер.
Дмитрия Кожемякина ул.
_
Железнодорожная ул.
Московская ул.
Галицкая ул.
Колпинское ш.
Изборская ул
Гусарская ул.
Глинки ул.
Центральная ул.
_
Зеленая ул.
Межевая ул.
Тельмана пос.
_
Молодцова ул.
Заозерная ул.
Приозерское ш.
Скандинавский проезд
Колокольный пер.
Каштановая аллея ул.
Сапёрная ул.
Железнодорожная ул.
_
Александровская ул.
Главная ул.
_
_
1-го мая ул.
Старорусский пр-кт.
_
Героев ул.
Верхняя ул.
Вокка ул.
Доктора Сотникова ул.
Плановая ул.
Центральная ул.
Квартальная ул
Авиаторов Балтики ул.
_
Графская ул.
Вячеслава Шишкова ул.
Богословская ул.
Лидии Зверевой ул.
Михаила Дудина ул
Головнина бул
Полоцкая ул.
Невская ул.
Добровольского пр.
Московское ш.
Голландская улица
Тихоокеанская ул.
Генерала Чоглокова ул.
Колпинское шоссе
Новая ул.
Школьная ул.
Освобождения ул.
Тихвинская ул.
Полевая ул.
Павловское шоссе ул.
Онежская ул
Кадетский бульвар ул.
Придорожная ул.
Охтинская ал.
_
Новосаратовская ул.
Шоссе в Лаврики
Некрасова ул.
Вилеровский пер.
Воронцовский б-р
Пражская ул.
Шоссейная ул.
Октябрьский пр-т
Ленинградская ул.
Ростовская ул.
Юкковское ш.
Капитанская ул.
Ростовская ул.
Школьная ул.
Парковая ул.
Токарева ул.
Петровский б-р
Ботаническая ул.
Кузьмолово
_
Победы ул.
Ленинградская ул.
Плоткина ул.
Деловая ул.
Воронцовский б-р
Политрука Пасечника ул.
Аврова ул.
Русаковская ул.
Поликарпова аллея
Николая Рубцова ул.
Героев пр-т
Заречная ул.
Ленинградская обл.
Валерия Гаврилина ул.
Юнтоловский просп.
Грузинская ул.
Санкт-Петербург
_
10-я линия
11-я линия
12-я линия
13-я линия
14-я линия
15-я линия
16-я линия
17-я линия
18-я линия
19-я линия
20-я линия
21-я линия
22-я линия
23-я линия
24-я линия
26-я линия
27-я линия
3 Линия 1 половины ул
3 Линия 2 половины ул
8-я линия
9 Января пр-кт
9-я линия
Абросимова ул
Авиагородок тер
Адмирала Трибуца ул
Адмиралтейская наб
Адмиралтейский проезд
Адмиральский проезд
Актерский проезд
Алексеевская 1-я ул
Алексеевская 2-я ул
Анненская ул
Апраксин Двор тер
Балканская М. ул
Баррикадная ул
Белоостров п
Березовая 1-я аллея
Березовая 2-я аллея
Беринга ул
Большая Каменка тер
Большой ВО пр-кт
Большой ПС пр-кт
Брестский б-р
Бринько пер
Броневая ст
Бухарестская М. ул
Быковская ул
Варшавская ул
Вертолетная ул
Верхний 1-й пер
Верхний 3-й пер
Верхний 4-й пер
Верхний 5-й пер
Верхний 6-й пер
Верхний 8-й пер
